Mean 	2.882685
Latitude 	50.722000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.067888	 0.033487	 34.456918	 26.790456
SSA  	 0.000228	 0.048360	 0.033016	 2.045806	 43.859071
MSM  	 0.001310	 0.033671	 0.031009	 340.343829	 52.881772
MM   	 0.001512	 0.007141	 0.026139	 22.082765	 187.231198
MSF  	 0.002822	 0.032338	 0.032457	 282.903246	 54.490509
MF   	 0.003050	 0.026987	 0.032967	 190.815236	 74.902552
ALP1 	 0.034397	 0.000083	 0.001582	 171.231649	 250.847364
2Q1  	 0.035706	 0.006849	 0.002307	 129.171616	 18.686696
SIG1 	 0.035909	 0.007130	 0.002543	 129.509721	 19.542692
Q1   	 0.037219	 0.053161	 0.002239	 117.233892	 2.659738
RHO1 	 0.037421	 0.008480	 0.002568	 106.124077	 17.406863
O1   	 0.038731	 0.300698	 0.002557	 123.235923	 0.503750
TAU1 	 0.038959	 0.003140	 0.002315	 177.850186	 34.533204
BET1 	 0.040040	 0.003161	 0.002232	 109.257743	 44.029172
NO1  	 0.040269	 0.019889	 0.001979	 140.541849	 4.771754
CHI1 	 0.040471	 0.005047	 0.002102	 92.535807	 25.982893
PI1  	 0.041439	 0.007353	 0.002478	 117.846384	 19.374281
P1   	 0.041553	 0.158230	 0.002263	 127.949757	 0.927685
S1   	 0.041667	 0.020450	 0.002979	 79.235668	 9.086579
K1   	 0.041781	 0.499883	 0.002212	 130.903095	 0.294974
PSI1 	 0.041895	 0.003827	 0.002144	 97.276648	 32.081180
PHI1 	 0.042009	 0.007939	 0.002317	 121.870052	 16.275370
THE1 	 0.043091	 0.004754	 0.002347	 132.560656	 29.971821
J1   	 0.043293	 0.029855	 0.002602	 145.923259	 4.505731
SO1  	 0.044603	 0.004990	 0.002287	 180.434806	 29.371967
OO1  	 0.044831	 0.016381	 0.002152	 149.562621	 7.102883
UPS1 	 0.046343	 0.002711	 0.002333	 171.762264	 48.620189
OQ2  	 0.075975	 0.002400	 0.002366	 341.795491	 59.349620
EPS2 	 0.076177	 0.006701	 0.002138	 346.709397	 22.680645
2N2  	 0.077487	 0.033444	 0.002499	 338.747916	 4.371211
MU2  	 0.077689	 0.035803	 0.002418	 352.515819	 4.105974
N2   	 0.078999	 0.277250	 0.002455	 2.600950	 0.574002
NU2  	 0.079202	 0.054009	 0.002606	 7.571415	 2.712511
H1   	 0.080397	 0.006951	 0.002207	 16.401295	 20.727249
M2   	 0.080511	 1.330885	 0.002180	 22.308376	 0.121131
H2   	 0.080625	 0.010505	 0.002734	 331.616918	 14.144924
MKS2 	 0.080740	 0.002254	 0.002159	 167.311694	 68.732680
LDA2 	 0.081821	 0.004754	 0.002601	 18.794015	 29.267473
L2   	 0.082024	 0.018565	 0.002725	 21.748319	 9.806063
T2   	 0.083219	 0.027031	 0.002434	 33.564891	 6.238001
S2   	 0.083333	 0.425891	 0.002532	 44.603178	 0.389666
R2   	 0.083447	 0.002947	 0.002060	 235.469945	 39.170902
K2   	 0.083561	 0.111419	 0.002323	 36.766884	 1.208288
MSN2 	 0.084845	 0.002959	 0.002438	 92.562159	 48.504104
ETA2 	 0.085074	 0.009078	 0.002869	 56.031823	 16.466446
MO3  	 0.119242	 0.017057	 0.002084	 51.814151	 7.708140
M3   	 0.120767	 0.008898	 0.002330	 318.011701	 16.104028
SO3  	 0.122064	 0.007989	 0.002269	 64.640271	 18.093180
MK3  	 0.122292	 0.010805	 0.002437	 51.737395	 12.797923
SK3  	 0.125114	 0.011526	 0.002430	 89.531227	 12.426812
MN4  	 0.159511	 0.001579	 0.001084	 28.357498	 44.450215
M4   	 0.161023	 0.001173	 0.001107	 318.358858	 68.802508
SN4  	 0.162333	 0.000365	 0.000799	 98.525013	 172.565304
MS4  	 0.163845	 0.001801	 0.001245	 102.168995	 41.759245
MK4  	 0.164073	 0.002933	 0.001353	 44.245558	 26.308753
S4   	 0.166667	 0.000388	 0.000908	 86.252398	 158.527221
SK4  	 0.166895	 0.001493	 0.001278	 210.477785	 49.273160
2MK5 	 0.202804	 0.005067	 0.000928	 242.022975	 11.669519
2SK5 	 0.208447	 0.000548	 0.000768	 326.898768	 99.799583
2MN6 	 0.240022	 0.002323	 0.000491	 236.865519	 11.943291
M6   	 0.241534	 0.004140	 0.000483	 267.582861	 7.746949
2MS6 	 0.244356	 0.002693	 0.000476	 295.631830	 9.766274
2MK6 	 0.244584	 0.001176	 0.000490	 266.712868	 21.298747
2SM6 	 0.247178	 0.000722	 0.000459	 325.253321	 36.249948
MSK6 	 0.247406	 0.000440	 0.000406	 317.547681	 65.029500
3MK7 	 0.283315	 0.000331	 0.000405	 47.575160	 73.172963
M8   	 0.322046	 0.000465	 0.000323	 54.571790	 41.955065
