Harmonics from: 	wlev_8408_31-Dec-2004_02-Jan-2006.csv
Mean 	2.915135
Latitude 	50.722000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2005 00:00:00 	 0.872826	 1.066987
31-Dec-2005 01:00:00 	 1.244000	 1.454146
31-Dec-2005 02:00:00 	 1.223064	 1.432731
31-Dec-2005 03:00:00 	 0.864202	 1.044956
31-Dec-2005 04:00:00 	 0.309343	 0.427167
31-Dec-2005 05:00:00 	 -0.250720	 -0.195589
31-Dec-2005 06:00:00 	 -0.627720	 -0.584774
31-Dec-2005 07:00:00 	 -0.686658	 -0.600680
31-Dec-2005 08:00:00 	 -0.382809	 -0.235844
31-Dec-2005 09:00:00 	 0.224629	 0.422724
31-Dec-2005 10:00:00 	 0.985954	 1.216486
31-Dec-2005 11:00:00 	 1.698263	 1.934705
31-Dec-2005 12:00:00 	 2.157325	 2.369133
31-Dec-2005 13:00:00 	 2.210877	 2.378590
31-Dec-2005 14:00:00 	 1.799750	 1.927975
31-Dec-2005 15:00:00 	 0.976174	 1.086252
31-Dec-2005 16:00:00 	 -0.105678	 -0.000043
31-Dec-2005 17:00:00 	 -1.224869	 -1.124658
31-Dec-2005 18:00:00 	 -2.146001	 -2.054801
31-Dec-2005 19:00:00 	 -2.675705	 -2.601669
31-Dec-2005 20:00:00 	 -2.709200	 -2.665583
31-Dec-2005 21:00:00 	 -2.255241	 -2.235279
31-Dec-2005 22:00:00 	 -1.433172	 -1.401903
31-Dec-2005 23:00:00 	 -0.442789	 -0.369128
01-Jan-2006 00:00:00 	 0.485445	 0.605066
01-Jan-2006 01:00:00 	 1.147322	 1.299840
01-Jan-2006 02:00:00 	 1.414631	 1.586806
01-Jan-2006 03:00:00 	 1.265247	 1.439792
01-Jan-2006 04:00:00 	 0.786022	 0.928566
01-Jan-2006 05:00:00 	 0.147877	 0.224435
01-Jan-2006 06:00:00 	 -0.440489	 -0.418678
01-Jan-2006 07:00:00 	 -0.788382	 -0.764870
01-Jan-2006 08:00:00 	 -0.774095	 -0.704574
01-Jan-2006 09:00:00 	 -0.377992	 -0.258877
01-Jan-2006 10:00:00 	 0.310879	 0.468216
01-Jan-2006 11:00:00 	 1.116468	 1.302310
01-Jan-2006 12:00:00 	 1.820305	 2.017094
01-Jan-2006 13:00:00 	 2.217748	 2.400521
01-Jan-2006 14:00:00 	 2.171577	 2.325547
01-Jan-2006 15:00:00 	 1.649258	 1.780896
01-Jan-2006 16:00:00 	 0.734243	 0.856977
01-Jan-2006 17:00:00 	 -0.391805	 -0.280223
01-Jan-2006 18:00:00 	 -1.491607	 -1.404187
01-Jan-2006 19:00:00 	 -2.329155	 -2.272634
01-Jan-2006 20:00:00 	 -2.726717	 -2.706973
01-Jan-2006 21:00:00 	 -2.607699	 -2.629789
01-Jan-2006 22:00:00 	 -2.014638	 -2.058986
01-Jan-2006 23:00:00 	 -1.097846	 -1.121746
02-Jan-2006 00:00:00 	 -0.077572	 -0.051385
02-Jan-2006 01:00:00 	 0.810770	 0.887940
02-Jan-2006 02:00:00 	 1.374521	 1.492235
02-Jan-2006 03:00:00 	 1.510331	 1.658880
02-Jan-2006 04:00:00 	 1.227689	 1.386449
02-Jan-2006 05:00:00 	 0.643660	 0.771398
02-Jan-2006 06:00:00 	 -0.049649	 0.014639
02-Jan-2006 07:00:00 	 -0.636498	 -0.617323
02-Jan-2006 08:00:00 	 -0.934590	 -0.909688
02-Jan-2006 09:00:00 	 -0.843243	 -0.787493
02-Jan-2006 10:00:00 	 -0.370341	 -0.291313
02-Jan-2006 11:00:00 	 0.368839	 0.467197
02-Jan-2006 12:00:00 	 1.180640	 1.303341
02-Jan-2006 13:00:00 	 1.842563	 1.982812
02-Jan-2006 14:00:00 	 2.160721	 2.300054
02-Jan-2006 15:00:00 	 2.020626	 2.148263
02-Jan-2006 16:00:00 	 1.418345	 1.538386
02-Jan-2006 17:00:00 	 0.464021	 0.577720
02-Jan-2006 18:00:00 	 -0.643265	 -0.552421
02-Jan-2006 19:00:00 	 -1.663095	 -1.613307
02-Jan-2006 20:00:00 	 -2.371917	 -2.366932
02-Jan-2006 21:00:00 	 -2.617285	 -2.657485
02-Jan-2006 22:00:00 	 -2.354615	 -2.436315
02-Jan-2006 23:00:00 	 -1.657285	 -1.751622
03-Jan-2006 00:00:00 	 -0.697665	 -0.760246
03-Jan-2006 01:00:00 	 0.296092	 0.290704
03-Jan-2006 02:00:00 	 1.096575	 1.148994
03-Jan-2006 03:00:00 	 1.532747	 1.637517
03-Jan-2006 04:00:00 	 1.530800	 1.680184
03-Jan-2006 05:00:00 	 1.130101	 1.298198
03-Jan-2006 06:00:00 	 0.470443	 0.611143
03-Jan-2006 07:00:00 	 -0.245917	 -0.162329
03-Jan-2006 08:00:00 	 -0.807643	 -0.762984
03-Jan-2006 09:00:00 	 -1.049484	 -1.009394
03-Jan-2006 10:00:00 	 -0.895182	 -0.855752
03-Jan-2006 11:00:00 	 -0.377288	 -0.349481
03-Jan-2006 12:00:00 	 0.371087	 0.397673
03-Jan-2006 13:00:00 	 1.150407	 1.196411
03-Jan-2006 14:00:00 	 1.746011	 1.814236
03-Jan-2006 15:00:00 	 1.983540	 2.061538
03-Jan-2006 16:00:00 	 1.774419	 1.854027
03-Jan-2006 17:00:00 	 1.139871	 1.221106
