Mean 	2.103916
Latitude 	49.154000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.104969	 0.035634	 24.500928	 16.959120
SSA  	 0.000228	 0.029080	 0.030694	 146.254787	 70.480457
MSM  	 0.001310	 0.013884	 0.026759	 32.564852	 126.806130
MM   	 0.001512	 0.058527	 0.034787	 250.598374	 31.386752
MSF  	 0.002822	 0.017756	 0.026707	 247.068227	 107.596172
MF   	 0.003050	 0.031444	 0.029121	 177.343243	 56.310781
ALP1 	 0.034397	 0.001938	 0.001800	 140.246424	 60.107705
2Q1  	 0.035706	 0.005444	 0.002026	 116.678672	 22.246973
SIG1 	 0.035909	 0.006369	 0.001839	 127.262135	 15.760279
Q1   	 0.037219	 0.043469	 0.002049	 115.530544	 2.531108
RHO1 	 0.037421	 0.011191	 0.001570	 114.981067	 10.303428
O1   	 0.038731	 0.246596	 0.001998	 116.550293	 0.473397
TAU1 	 0.038959	 0.005810	 0.002883	 110.751217	 32.123875
BET1 	 0.040040	 0.001792	 0.001640	 142.802173	 50.157721
NO1  	 0.040269	 0.017844	 0.001828	 108.946279	 7.084793
CHI1 	 0.040471	 0.002938	 0.001993	 130.673538	 41.736236
PI1  	 0.041439	 0.006746	 0.002388	 128.673473	 18.783620
P1   	 0.041553	 0.122482	 0.002356	 118.921599	 1.165575
S1   	 0.041667	 0.017992	 0.003390	 133.576880	 9.855364
K1   	 0.041781	 0.389433	 0.002056	 120.872170	 0.297550
PSI1 	 0.041895	 0.002974	 0.002407	 322.948558	 43.473309
PHI1 	 0.042009	 0.007581	 0.002532	 127.243615	 19.616641
THE1 	 0.043091	 0.004490	 0.001959	 133.051179	 25.233371
J1   	 0.043293	 0.026543	 0.001805	 125.106444	 4.594587
SO1  	 0.044603	 0.004793	 0.002017	 146.314852	 25.917396
OO1  	 0.044831	 0.014059	 0.001194	 142.636416	 5.219813
UPS1 	 0.046343	 0.003486	 0.001258	 151.022811	 22.157613
OQ2  	 0.075975	 0.003751	 0.001637	 329.329550	 27.241903
EPS2 	 0.076177	 0.002699	 0.001704	 3.870201	 38.481026
2N2  	 0.077487	 0.028556	 0.001639	 333.456122	 3.255026
MU2  	 0.077689	 0.017258	 0.001553	 341.153865	 4.765693
N2   	 0.078999	 0.199339	 0.001290	 348.891102	 0.437103
NU2  	 0.079202	 0.039898	 0.001442	 350.765772	 1.970741
H1   	 0.080397	 0.001741	 0.001358	 81.234742	 52.655774
M2   	 0.080511	 0.989483	 0.001477	 8.309615	 0.076610
H2   	 0.080625	 0.002295	 0.001481	 323.551479	 36.030787
MKS2 	 0.080740	 0.000396	 0.000770	 80.117090	 162.628102
LDA2 	 0.081821	 0.007911	 0.001692	 8.010799	 10.966136
L2   	 0.082024	 0.022796	 0.001204	 27.308106	 3.025244
T2   	 0.083219	 0.016210	 0.001415	 23.141104	 5.436964
S2   	 0.083333	 0.282197	 0.001422	 29.652544	 0.321353
R2   	 0.083447	 0.002526	 0.001100	 17.251266	 25.822216
K2   	 0.083561	 0.077688	 0.001159	 21.810427	 0.768861
MSN2 	 0.084845	 0.004012	 0.001578	 158.707537	 23.388723
ETA2 	 0.085074	 0.006681	 0.001208	 22.938597	 9.547265
MO3  	 0.119242	 0.006091	 0.001015	 79.128168	 8.240351
M3   	 0.120767	 0.002322	 0.001175	 272.190971	 27.256281
SO3  	 0.122064	 0.003770	 0.000900	 103.898172	 13.122963
MK3  	 0.122292	 0.007116	 0.001013	 89.832413	 6.979893
SK3  	 0.125114	 0.002960	 0.000929	 79.091131	 19.616369
MN4  	 0.159511	 0.007480	 0.000900	 356.007409	 7.297622
M4   	 0.161023	 0.018354	 0.000974	 13.595202	 2.861148
SN4  	 0.162333	 0.001830	 0.000991	 35.500461	 27.241255
MS4  	 0.163845	 0.010208	 0.000989	 31.301471	 5.558080
MK4  	 0.164073	 0.003535	 0.000747	 36.460167	 11.097381
S4   	 0.166667	 0.000672	 0.000820	 42.884030	 76.478414
SK4  	 0.166895	 0.001562	 0.000723	 50.973387	 26.229766
2MK5 	 0.202804	 0.002093	 0.000966	 129.106727	 23.479663
2SK5 	 0.208447	 0.000246	 0.000594	 144.825422	 169.255692
2MN6 	 0.240022	 0.003267	 0.000734	 34.786747	 12.957452
M6   	 0.241534	 0.004713	 0.000671	 50.506696	 8.031648
2MS6 	 0.244356	 0.003872	 0.000677	 64.681072	 9.682190
2MK6 	 0.244584	 0.001876	 0.000513	 40.046164	 16.396538
2SM6 	 0.247178	 0.000798	 0.000597	 88.183705	 44.381508
MSK6 	 0.247406	 0.000891	 0.000491	 81.521308	 28.823650
3MK7 	 0.283315	 0.002075	 0.000772	 128.031057	 20.383267
M8   	 0.322046	 0.002277	 0.000532	 50.160853	 13.650253
