Harmonics from: 	wlev_8615_31-Dec-2004_02-Jan-2006.csv
Mean 	2.103916
Latitude 	49.154000
Time_Local 	 pred_8 	 pred_all 
31-Dec-2005 00:00:00 	 0.781693	 0.975890
31-Dec-2005 01:00:00 	 0.928991	 1.136533
31-Dec-2005 02:00:00 	 0.803277	 0.976670
31-Dec-2005 03:00:00 	 0.476195	 0.616963
31-Dec-2005 04:00:00 	 0.070559	 0.211910
31-Dec-2005 05:00:00 	 -0.273098	 -0.115294
31-Dec-2005 06:00:00 	 -0.434477	 -0.262073
31-Dec-2005 07:00:00 	 -0.346201	 -0.162410
31-Dec-2005 08:00:00 	 -0.012807	 0.182656
31-Dec-2005 09:00:00 	 0.488970	 0.697224
31-Dec-2005 10:00:00 	 1.028843	 1.248498
31-Dec-2005 11:00:00 	 1.455971	 1.690151
31-Dec-2005 12:00:00 	 1.637987	 1.883724
31-Dec-2005 13:00:00 	 1.496150	 1.717459
31-Dec-2005 14:00:00 	 1.027592	 1.184764
31-Dec-2005 15:00:00 	 0.308827	 0.414649
31-Dec-2005 16:00:00 	 -0.520613	 -0.419741
31-Dec-2005 17:00:00 	 -1.290538	 -1.168020
31-Dec-2005 18:00:00 	 -1.840511	 -1.699247
31-Dec-2005 19:00:00 	 -2.058264	 -1.921225
31-Dec-2005 20:00:00 	 -1.906540	 -1.797767
31-Dec-2005 21:00:00 	 -1.431625	 -1.350600
31-Dec-2005 22:00:00 	 -0.751409	 -0.683073
31-Dec-2005 23:00:00 	 -0.025950	 0.047343
01-Jan-2006 00:00:00 	 0.582084	 0.693444
01-Jan-2006 01:00:00 	 0.947164	 1.111239
01-Jan-2006 02:00:00 	 1.010896	 1.182273
01-Jan-2006 03:00:00 	 0.794735	 0.925595
01-Jan-2006 04:00:00 	 0.392311	 0.497055
01-Jan-2006 05:00:00 	 -0.056598	 0.059152
01-Jan-2006 06:00:00 	 -0.403760	 -0.268282
01-Jan-2006 07:00:00 	 -0.532164	 -0.385043
01-Jan-2006 08:00:00 	 -0.387532	 -0.232882
01-Jan-2006 09:00:00 	 0.006481	 0.170008
01-Jan-2006 10:00:00 	 0.553335	 0.727139
01-Jan-2006 11:00:00 	 1.107743	 1.293391
01-Jan-2006 12:00:00 	 1.512835	 1.719469
01-Jan-2006 13:00:00 	 1.640931	 1.865721
01-Jan-2006 14:00:00 	 1.427551	 1.629184
01-Jan-2006 15:00:00 	 0.889927	 1.028898
01-Jan-2006 16:00:00 	 0.125167	 0.217591
01-Jan-2006 17:00:00 	 -0.711655	 -0.622677
01-Jan-2006 18:00:00 	 -1.444144	 -1.340628
01-Jan-2006 19:00:00 	 -1.916887	 -1.810381
01-Jan-2006 20:00:00 	 -2.032864	 -1.948717
01-Jan-2006 21:00:00 	 -1.776624	 -1.730209
01-Jan-2006 22:00:00 	 -1.217453	 -1.198420
01-Jan-2006 23:00:00 	 -0.491735	 -0.481069
02-Jan-2006 00:00:00 	 0.231028	 0.259234
02-Jan-2006 01:00:00 	 0.790008	 0.876072
02-Jan-2006 02:00:00 	 1.072172	 1.219207
02-Jan-2006 03:00:00 	 1.038951	 1.186768
02-Jan-2006 04:00:00 	 0.733835	 0.840904
02-Jan-2006 05:00:00 	 0.269128	 0.361735
02-Jan-2006 06:00:00 	 -0.204669	 -0.094278
02-Jan-2006 07:00:00 	 -0.538951	 -0.414612
02-Jan-2006 08:00:00 	 -0.626329	 -0.501669
02-Jan-2006 09:00:00 	 -0.429133	 -0.308002
02-Jan-2006 10:00:00 	 0.010178	 0.130077
02-Jan-2006 11:00:00 	 0.579386	 0.701995
02-Jan-2006 12:00:00 	 1.125043	 1.259653
02-Jan-2006 13:00:00 	 1.491940	 1.655380
02-Jan-2006 14:00:00 	 1.563490	 1.750716
02-Jan-2006 15:00:00 	 1.292752	 1.456652
02-Jan-2006 16:00:00 	 0.716164	 0.820076
02-Jan-2006 17:00:00 	 -0.053597	 0.010785
02-Jan-2006 18:00:00 	 -0.853942	 -0.791060
02-Jan-2006 19:00:00 	 -1.511364	 -1.441712
02-Jan-2006 20:00:00 	 -1.883385	 -1.824503
02-Jan-2006 21:00:00 	 -1.892994	 -1.867453
02-Jan-2006 22:00:00 	 -1.546986	 -1.559523
02-Jan-2006 23:00:00 	 -0.933676	 -0.965983
03-Jan-2006 00:00:00 	 -0.200613	 -0.229580
03-Jan-2006 01:00:00 	 0.482064	 0.490269
03-Jan-2006 02:00:00 	 0.963416	 1.048990
03-Jan-2006 03:00:00 	 1.148182	 1.297179
03-Jan-2006 04:00:00 	 1.018880	 1.162454
03-Jan-2006 05:00:00 	 0.638116	 0.747167
03-Jan-2006 06:00:00 	 0.130695	 0.237285
03-Jan-2006 07:00:00 	 -0.349765	 -0.227282
03-Jan-2006 08:00:00 	 -0.661175	 -0.539895
03-Jan-2006 09:00:00 	 -0.709977	 -0.606076
03-Jan-2006 10:00:00 	 -0.475438	 -0.392407
03-Jan-2006 11:00:00 	 -0.015110	 0.050363
03-Jan-2006 12:00:00 	 0.549887	 0.607816
03-Jan-2006 13:00:00 	 1.065962	 1.136035
03-Jan-2006 14:00:00 	 1.386641	 1.490785
03-Jan-2006 15:00:00 	 1.410575	 1.539102
03-Jan-2006 16:00:00 	 1.108348	 1.212651
03-Jan-2006 17:00:00 	 0.531267	 0.583666
03-Jan-2006 18:00:00 	 -0.200093	 -0.174258
03-Jan-2006 19:00:00 	 -0.924769	 -0.895010
03-Jan-2006 20:00:00 	 -1.480486	 -1.447661
03-Jan-2006 21:00:00 	 -1.743175	 -1.726906
03-Jan-2006 22:00:00 	 -1.657078	 -1.674447
03-Jan-2006 23:00:00 	 -1.247983	 -1.295140
04-Jan-2006 00:00:00 	 -0.616367	 -0.671003
04-Jan-2006 01:00:00 	 0.087746	 0.050721
04-Jan-2006 02:00:00 	 0.701856	 0.719722
04-Jan-2006 03:00:00 	 1.090678	 1.196191
04-Jan-2006 04:00:00 	 1.178585	 1.341913
04-Jan-2006 05:00:00 	 0.966791	 1.120433
04-Jan-2006 06:00:00 	 0.531153	 0.660460
04-Jan-2006 07:00:00 	 0.001360	 0.135336
04-Jan-2006 08:00:00 	 -0.473089	 -0.333946
04-Jan-2006 09:00:00 	 -0.761435	 -0.642783
04-Jan-2006 10:00:00 	 -0.784984	 -0.702757
04-Jan-2006 11:00:00 	 -0.536872	 -0.495368
04-Jan-2006 12:00:00 	 -0.083372	 -0.077175
04-Jan-2006 13:00:00 	 0.453462	 0.442887
04-Jan-2006 14:00:00 	 0.927303	 0.927827
04-Jan-2006 15:00:00 	 1.205213	 1.239118
04-Jan-2006 16:00:00 	 1.201907	 1.256799
04-Jan-2006 17:00:00 	 0.902005	 0.936535
04-Jan-2006 18:00:00 	 0.364694	 0.364779
04-Jan-2006 19:00:00 	 -0.290333	 -0.297525
04-Jan-2006 20:00:00 	 -0.912099	 -0.905951
04-Jan-2006 21:00:00 	 -1.355402	 -1.343262
04-Jan-2006 22:00:00 	 -1.516435	 -1.517168
04-Jan-2006 23:00:00 	 -1.358146	 -1.384810
05-Jan-2006 00:00:00 	 -0.919070	 -0.964505
05-Jan-2006 01:00:00 	 -0.303553	 -0.346613
05-Jan-2006 02:00:00 	 0.344092	 0.326709
05-Jan-2006 03:00:00 	 0.874984	 0.918976
05-Jan-2006 04:00:00 	 1.171795	 1.300146
05-Jan-2006 05:00:00 	 1.176662	 1.351226
05-Jan-2006 06:00:00 	 0.904088	 1.067754
05-Jan-2006 07:00:00 	 0.435802	 0.585682
05-Jan-2006 08:00:00 	 -0.100915	 0.054625
05-Jan-2006 09:00:00 	 -0.565855	 -0.418677
05-Jan-2006 10:00:00 	 -0.841210	 -0.729682
05-Jan-2006 11:00:00 	 -0.860773	 -0.800102
05-Jan-2006 12:00:00 	 -0.625798	 -0.622492
05-Jan-2006 13:00:00 	 -0.203713	 -0.249027
05-Jan-2006 14:00:00 	 0.289815	 0.221350
05-Jan-2006 15:00:00 	 0.720794	 0.659131
05-Jan-2006 16:00:00 	 0.971220	 0.936975
05-Jan-2006 17:00:00 	 0.969149	 0.954345
05-Jan-2006 18:00:00 	 0.707029	 0.685102
05-Jan-2006 19:00:00 	 0.243798	 0.212602
05-Jan-2006 20:00:00 	 -0.309708	 -0.326781
05-Jan-2006 21:00:00 	 -0.818277	 -0.810417
05-Jan-2006 22:00:00 	 -1.155887	 -1.133524
05-Jan-2006 23:00:00 	 -1.236934	 -1.218616
06-Jan-2006 00:00:00 	 -1.037403	 -1.036964
06-Jan-2006 01:00:00 	 -0.600809	 -0.613603
06-Jan-2006 02:00:00 	 -0.027529	 -0.037969
06-Jan-2006 03:00:00 	 0.549725	 0.560325
06-Jan-2006 04:00:00 	 0.998160	 1.062316
06-Jan-2006 05:00:00 	 1.216904	 1.351382
06-Jan-2006 06:00:00 	 1.160905	 1.328638
06-Jan-2006 07:00:00 	 0.850968	 1.009797
06-Jan-2006 08:00:00 	 0.367622	 0.521871
06-Jan-2006 09:00:00 	 -0.169470	 -0.010723
06-Jan-2006 10:00:00 	 -0.631326	 -0.488571
06-Jan-2006 11:00:00 	 -0.911247	 -0.808404
06-Jan-2006 12:00:00 	 -0.950403	 -0.903890
