Tidal Current Constituents,,,,,,
Columns,,,,,,
Constituent,Longitude,Latitude,U Amplitude (m),U Phase (deg GMT),V Amplitude (m),V Phase (deg GMT)
O1:,-124.689735,48.391544,0.143786,156.768506,0.012616,152.794818
P1:,-124.689735,48.391544,0.083089,169.160071,0.006358,175.32224
Q1:,-124.689735,48.391544,0.018234,156.892323,0.002508,143.309363
K1:,-124.689735,48.391544,0.291336,175.312072,0.019632,173.12011
K2:,-124.689735,48.391544,0.026769,243.393219,0.001798,109.844247
N2:,-124.689735,48.391544,0.098898,230.024511,0.000424,94.656834
M2:,-124.689735,48.391544,0.475905,260.511688,0.002939,159.705827
S2:,-124.689735,48.391544,0.118351,286.3091,0.001371,182.090323
O1:,-124.69308,48.39553,0.157292,156.487525,0.016157,96.692146
P1:,-124.69308,48.39553,0.092734,169.380967,0.008347,94.37485
Q1:,-124.69308,48.39553,0.020999,153.946552,0.003248,85.068552
K1:,-124.69308,48.39553,0.318669,175.27916,0.028807,97.741999
K2:,-124.69308,48.39553,0.028168,261.745919,0.005119,202.12961
N2:,-124.69308,48.39553,0.103184,236.862417,0.006845,198.990917
M2:,-124.69308,48.39553,0.493479,266.961515,0.030785,229.000901
S2:,-124.69308,48.39553,0.122995,292.961654,0.007544,248.277639
O1:,-124.69641,48.39952,0.148075,156.704025,0.028977,146.569847
P1:,-124.69641,48.39952,0.088548,169.645182,0.012145,170.022101
Q1:,-124.69641,48.39952,0.019561,154.278707,0.006117,127.617859
K1:,-124.69641,48.39952,0.303579,175.787421,0.035593,166.436691
K2:,-124.69641,48.39952,0.026554,251.021268,0.002552,113.469892
N2:,-124.69641,48.39952,0.098793,234.355383,0.006033,318.373802
M2:,-124.69641,48.39952,0.472687,264.506513,0.028238,354.047309
S2:,-124.69641,48.39952,0.118109,290.186403,0.006582,37.740038
O1:,-124.69975,48.403507,0.138816,156.945693,0.049158,161.168611
P1:,-124.69975,48.403507,0.084335,169.930414,0.023673,190.051634
Q1:,-124.69975,48.403507,0.018115,154.663861,0.010089,140.229924
K1:,-124.69975,48.403507,0.288427,176.345257,0.066465,190.324899
K2:,-124.69975,48.403507,0.025966,239.316526,0.007154,67.665143
N2:,-124.69975,48.403507,0.094593,231.598448,0.016556,339.517597
M2:,-124.69975,48.403507,0.452769,261.809333,0.078409,12.817359
S2:,-124.69975,48.403507,0.113504,287.156301,0.020056,48.762316
O1:,-124.703094,48.407494,0.137417,156.244014,0.054065,162.16693
P1:,-124.703094,48.407494,0.083973,170.764013,0.026451,192.473411
Q1:,-124.703094,48.407494,0.018002,153.40625,0.011243,140.766144
K1:,-124.703094,48.407494,0.284477,176.943475,0.073124,193.16092
K2:,-124.703094,48.407494,0.026476,236.330131,0.009506,74.436817
N2:,-124.703094,48.407494,0.094424,231.440886,0.018438,345.193757
M2:,-124.703094,48.407494,0.451026,261.605604,0.088432,18.642976
S2:,-124.703094,48.407494,0.113131,286.887046,0.023123,55.007127
O1:,-124.70643,48.41148,0.16228,156.360994,0.041071,148.405682
P1:,-124.70643,48.41148,0.098286,173.51471,0.015759,181.519669
Q1:,-124.70643,48.41148,0.023121,151.248164,0.009388,127.018399
K1:,-124.70643,48.41148,0.325234,178.496459,0.040437,174.712223
K2:,-124.70643,48.41148,0.031767,256.174638,0.010811,119.841196
N2:,-124.70643,48.41148,0.104354,239.93546,0.005062,359.778222
M2:,-124.70643,48.41148,0.493818,270.015424,0.02749,34.32697
S2:,-124.70643,48.41148,0.123909,295.547076,0.009429,84.622782
O1:,-124.70977,48.415466,0.189902,156.610025,0.032204,123.083889
P1:,-124.70977,48.415466,0.114385,175.698415,0.007253,133.240908
Q1:,-124.70977,48.415466,0.028834,149.929319,0.008311,106.788535
K1:,-124.70977,48.415466,0.371152,179.794123,0.02674,105.514332
K2:,-124.70977,48.415466,0.040646,270.437937,0.016856,145.767339
N2:,-124.70977,48.415466,0.117376,247.512967,0.01003,151.166368
M2:,-124.70977,48.415466,0.550892,277.660391,0.043114,179.295155
S2:,-124.70977,48.415466,0.13845,303.389182,0.012345,185.567993
O1:,-124.713104,48.419453,0.196086,158.527768,0.031449,123.03672
P1:,-124.713104,48.419453,0.117801,178.540564,0.006509,133.47405
Q1:,-124.713104,48.419453,0.030225,151.326958,0.007815,105.515515
K1:,-124.713104,48.419453,0.379376,182.400738,0.024841,104.674534
K2:,-124.713104,48.419453,0.041736,275.203947,0.017486,154.038303
N2:,-124.713104,48.419453,0.11661,251.476996,0.011646,174.965655
M2:,-124.713104,48.419453,0.54612,281.50218,0.050337,204.247647
S2:,-124.713104,48.419453,0.13737,307.146745,0.012767,209.891396
O1:,-124.716446,48.42344,0.193689,161.220089,0.033256,135.754182
P1:,-124.716446,48.42344,0.116225,181.900961,0.008437,169.488216
Q1:,-124.716446,48.42344,0.029857,153.7775,0.007378,114.103496
K1:,-124.716446,48.42344,0.372893,185.74068,0.022594,146.889899
K2:,-124.716446,48.42344,0.039156,277.934438,0.015519,161.098334
N2:,-124.716446,48.42344,0.109895,254.694375,0.011721,213.176472
M2:,-124.716446,48.42344,0.514358,284.472828,0.049793,243.304377
S2:,-124.716446,48.42344,0.129407,309.911256,0.010031,247.468706
O1:,-124.71979,48.427425,0.189418,163.532176,0.030734,145.630563
P1:,-124.71979,48.427425,0.114273,185.109307,0.009329,188.237324
Q1:,-124.71979,48.427425,0.029198,155.854858,0.006046,121.16677
K1:,-124.71979,48.427425,0.364314,189.000721,0.023555,177.213906
K2:,-124.71979,48.427425,0.037451,284.230604,0.01415,175.315311
N2:,-124.71979,48.427425,0.104369,259.145095,0.015575,235.125843
M2:,-124.71979,48.427425,0.487241,288.58687,0.065668,266.159826
S2:,-124.71979,48.427425,0.12287,313.969494,0.012645,278.449944
O1:,-124.72312,48.43141,0.182979,165.620504,0.025111,157.977775
P1:,-124.72312,48.43141,0.111567,188.184115,0.009041,206.865793
Q1:,-124.72312,48.43141,0.028211,157.7712,0.0041,131.308641
K1:,-124.72312,48.43141,0.352911,192.194981,0.024223,204.219993
K2:,-124.72312,48.43141,0.036998,292.847142,0.014299,193.688077
N2:,-124.72312,48.43141,0.10018,264.264069,0.019625,244.007496
M2:,-124.72312,48.43141,0.465535,293.358318,0.082193,275.639086
S2:,-124.72312,48.43141,0.11793,318.811258,0.016649,290.72373
O1:,-124.72646,48.435394,0.174195,168.549919,0.031544,171.124926
P1:,-124.72646,48.435394,0.105894,191.203709,0.014548,215.141234
Q1:,-124.72646,48.435394,0.02691,161.077605,0.004811,149.063591
K1:,-124.72646,48.435394,0.33502,195.117443,0.041233,216.540554
K2:,-124.72646,48.435394,0.034665,293.43454,0.013706,195.883234
N2:,-124.72646,48.435394,0.09429,264.945444,0.019344,250.903615
M2:,-124.72646,48.435394,0.438243,294.078421,0.081738,282.847282
S2:,-124.72646,48.435394,0.111042,319.580654,0.016419,298.732361
O1:,-124.729805,48.43938,0.165905,171.782963,0.039066,179.545258
P1:,-124.729805,48.43938,0.100542,194.556981,0.020199,218.841877
Q1:,-124.729805,48.43938,0.025707,164.708502,0.005854,161.414715
K1:,-124.729805,48.43938,0.318078,198.362402,0.059053,221.570898
K2:,-124.729805,48.43938,0.032333,294.105284,0.013135,198.272491
N2:,-124.729805,48.43938,0.088409,265.717505,0.01935,257.907512
M2:,-124.729805,48.43938,0.410998,294.894089,0.082583,290.031245
S2:,-124.729805,48.43938,0.104169,320.451596,0.016515,306.818655
O1:,-124.73315,48.443367,0.160085,174.479545,0.040684,181.43487
P1:,-124.73315,48.443367,0.096956,197.003491,0.021395,218.875603
Q1:,-124.73315,48.443367,0.024976,167.929688,0.006117,164.789645
K1:,-124.73315,48.443367,0.307014,200.718711,0.063175,221.577847
K2:,-124.73315,48.443367,0.030403,296.880006,0.012228,204.02292
N2:,-124.73315,48.443367,0.084651,266.730179,0.019034,260.702639
M2:,-124.73315,48.443367,0.394228,295.898514,0.081404,292.368045
S2:,-124.73315,48.443367,0.099987,321.69353,0.016668,309.273808
O1:,-124.73648,48.44735,0.153678,175.683589,0.042031,185.842122
P1:,-124.73648,48.44735,0.092882,197.952448,0.022288,221.827839
Q1:,-124.73648,48.44735,0.024144,169.337514,0.006322,169.822736
K1:,-124.73648,48.44735,0.294494,201.566559,0.066289,224.696387
K2:,-124.73648,48.44735,0.028186,299.062249,0.010439,209.214858
N2:,-124.73648,48.44735,0.081234,266.946179,0.017922,263.37372
M2:,-124.73648,48.44735,0.379169,296.1358,0.076941,294.747439
S2:,-124.73648,48.44735,0.09604,322.207973,0.016,312.483609
O1:,-124.73982,48.451336,0.147331,176.992675,0.04362,189.96099
P1:,-124.73982,48.451336,0.088827,198.988794,0.02324,224.550615
Q1:,-124.73982,48.451336,0.023326,170.846263,0.006575,174.513829
K1:,-124.73982,48.451336,0.28202,202.490022,0.069596,227.53242
K2:,-124.73982,48.451336,0.026012,301.614794,0.008768,216.47511
N2:,-124.73982,48.451336,0.077811,267.180869,0.016854,266.398605
M2:,-124.73982,48.451336,0.364085,296.392398,0.072627,297.422292
S2:,-124.73982,48.451336,0.092093,322.766433,0.015387,315.972108
O1:,-124.743164,48.45532,0.142617,178.357323,0.0439,192.972685
P1:,-124.743164,48.45532,0.085842,200.032255,0.023508,226.71018
Q1:,-124.743164,48.45532,0.022751,172.414656,0.006613,178.162523
K1:,-124.743164,48.45532,0.272852,203.441652,0.070664,229.745101
K2:,-124.743164,48.45532,0.024381,304.386738,0.007697,224.578394
N2:,-124.743164,48.45532,0.075133,267.707786,0.016257,268.618529
M2:,-124.743164,48.45532,0.35212,296.952421,0.070366,299.395232
S2:,-124.743164,48.45532,0.089014,323.577862,0.015201,318.437562
O1:,-124.746506,48.4593,0.139435,179.740574,0.042862,195.243929
P1:,-124.746506,48.4593,0.083855,201.05082,0.023121,228.542699
Q1:,-124.746506,48.4593,0.022404,174.000831,0.006435,181.22016
K1:,-124.746506,48.4593,0.266775,204.393541,0.069585,231.603165
K2:,-124.746506,48.4593,0.02326,307.256657,0.007152,232.300069
N2:,-124.746506,48.4593,0.073161,268.524333,0.016066,269.838356
M2:,-124.746506,48.4593,0.343126,297.812952,0.069914,300.498973
S2:,-124.746506,48.4593,0.086762,324.630994,0.015376,319.733419
O1:,-124.74984,48.463287,0.136284,181.153626,0.041938,197.627435
P1:,-124.74984,48.463287,0.081863,202.092232,0.022785,230.433327
Q1:,-124.74984,48.463287,0.022064,175.600716,0.006284,184.434349
K1:,-124.74984,48.463287,0.260679,205.363814,0.068667,233.520395
K2:,-124.74984,48.463287,0.022192,310.316166,0.006731,240.964505
N2:,-124.74984,48.463287,0.071163,269.369056,0.015873,271.176668
M2:,-124.74984,48.463287,0.334018,298.70306,0.069458,301.707478
S2:,-124.74984,48.463287,0.084485,325.719505,0.015545,321.131131
O1:,-124.75318,48.46727,0.132079,181.969694,0.042085,200.137705
P1:,-124.75318,48.46727,0.079269,202.665561,0.023047,232.273629
Q1:,-124.75318,48.46727,0.021507,176.588561,0.0063,187.58411
K1:,-124.75318,48.46727,0.252727,205.87451,0.069682,235.470456
K2:,-124.75318,48.46727,0.02097,311.846864,0.005956,248.591492
N2:,-124.75318,48.46727,0.06835,269.930119,0.015567,274.298907
M2:,-124.75318,48.46727,0.321194,299.314619,0.068802,304.679968
S2:,-124.75318,48.46727,0.081157,326.464046,0.015558,325.033833
O1:,-124.75652,48.471252,0.12914,182.199104,0.040522,202.572387
P1:,-124.75652,48.471252,0.077506,202.753608,0.022442,234.353651
Q1:,-124.75652,48.471252,0.021083,176.854728,0.006016,190.953654
K1:,-124.75652,48.471252,0.247037,205.955396,0.068089,237.883154
K2:,-124.75652,48.471252,0.020449,312.754471,0.005679,250.162607
N2:,-124.75652,48.471252,0.066618,270.086106,0.014662,275.697303
M2:,-124.75652,48.471252,0.313387,299.537372,0.065002,305.928692
S2:,-124.75652,48.471252,0.079225,326.746253,0.014653,326.10765
O1:,-124.759865,48.475235,0.126231,182.422735,0.038994,205.200754
P1:,-124.759865,48.475235,0.075763,202.832161,0.021846,236.557011
Q1:,-124.759865,48.475235,0.020662,177.112155,0.005748,194.656439
K1:,-124.759865,48.475235,0.241398,206.028094,0.066559,240.424608
K2:,-124.759865,48.475235,0.019949,313.688718,0.005416,251.694765
N2:,-124.759865,48.475235,0.064911,270.238751,0.013752,277.229645
M2:,-124.759865,48.475235,0.305703,299.760171,0.061153,307.284552
S2:,-124.759865,48.475235,0.077328,327.029001,0.01373,327.244867
O1:,-124.7632,48.479218,0.123498,182.71491,0.036954,208.171905
P1:,-124.7632,48.479218,0.074089,202.984379,0.020987,238.879862
Q1:,-124.7632,48.479218,0.020274,177.392134,0.005412,199.194321
K1:,-124.7632,48.479218,0.23595,206.164997,0.064262,243.068409
K2:,-124.7632,48.479218,0.019386,314.477363,0.005139,254.15857
N2:,-124.7632,48.479218,0.063236,270.387496,0.012734,278.997559
M2:,-124.7632,48.479218,0.298229,300.014261,0.05697,308.666429
S2:,-124.7632,48.479218,0.075422,327.358589,0.012783,328.49988
O1:,-124.76654,48.483204,0.120819,183.039178,0.034837,211.548348
P1:,-124.76654,48.483204,0.072434,203.166192,0.020072,241.41047
Q1:,-124.76654,48.483204,0.019897,177.687281,0.005088,204.496714
K1:,-124.76654,48.483204,0.230552,206.328008,0.061829,245.913534
K2:,-124.76654,48.483204,0.018804,315.251919,0.004868,257.171296
N2:,-124.76654,48.483204,0.061568,270.54046,0.011693,281.086537
M2:,-124.76654,48.483204,0.290813,300.28795,0.052705,310.218791
S2:,-124.76654,48.483204,0.073513,327.71607,0.011835,329.943075
O1:,-124.76988,48.487183,0.119306,183.173306,0.033432,214.75914
P1:,-124.76988,48.487183,0.071439,203.138343,0.019354,244.142887
Q1:,-124.76988,48.487183,0.019725,177.82135,0.004931,208.673323
K1:,-124.76988,48.487183,0.227538,206.287222,0.059723,248.666195
K2:,-124.76988,48.487183,0.018465,316.213419,0.004706,256.804407
N2:,-124.76988,48.487183,0.060603,270.6173,0.010729,281.947647
M2:,-124.76988,48.487183,0.286301,300.340122,0.048111,311.26095
S2:,-124.76988,48.487183,0.072445,327.890403,0.010752,330.091365
O1:,-124.773224,48.491165,0.117184,183.258587,0.032851,217.700162
P1:,-124.773224,48.491165,0.070238,202.946753,0.018954,246.530559
Q1:,-124.773224,48.491165,0.01948,178.118474,0.004934,211.904081
K1:,-124.773224,48.491165,0.223947,206.078186,0.058532,251.00021
K2:,-124.773224,48.491165,0.018276,317.606894,0.004574,260.216584
N2:,-124.773224,48.491165,0.059625,270.63395,0.010014,283.0353
M2:,-124.773224,48.491165,0.281933,300.333533,0.044745,312.283441
S2:,-124.773224,48.491165,0.071437,328.019313,0.010038,330.61702
O1:,-124.776566,48.495148,0.115063,183.34698,0.032358,220.738815
P1:,-124.776566,48.495148,0.069038,202.748473,0.018588,249.017037
Q1:,-124.776566,48.495148,0.019235,178.423116,0.004952,215.120873
K1:,-124.776566,48.495148,0.22036,205.862291,0.057441,253.427398
K2:,-124.776566,48.495148,0.018099,319.028909,0.00446,263.814245
N2:,-124.776566,48.495148,0.058648,270.651211,0.009303,284.289929
M2:,-124.776566,48.495148,0.277566,300.326792,0.041393,313.472146
S2:,-124.776566,48.495148,0.070431,328.151983,0.009324,331.223099
O1:,-124.77991,48.49913,0.112941,183.438728,0.031959,223.862306
P1:,-124.77991,48.49913,0.067839,202.543208,0.018258,251.597922
Q1:,-124.77991,48.49913,0.018991,178.735665,0.004986,218.304022
K1:,-124.77991,48.49913,0.216776,205.639303,0.056459,255.943338
