Tidal Current Constituents,,,,,,
Columns,,,,,,
Constituent,Longitude,Latitude,U Amplitude (m),U Phase (deg GMT),V Amplitude (m),V Phase (deg GMT)
O1:,-124.692,48.3906,0.141,155.696506,0.011623,149.78235
P1:,-124.692,48.3906,0.080946,167.749649,0.005914,168.203243
Q1:,-124.692,48.3906,0.017437,155.828776,0.002037,141.73415
K1:,-124.692,48.3906,0.285237,174.136034,0.019313,168.56603
K2:,-124.692,48.3906,0.026187,240.287855,0.001151,151.405185
N2:,-124.692,48.3906,0.098038,228.195574,0.002416,212.796623
M2:,-124.692,48.3906,0.471883,258.725459,0.01243,240.190569
S2:,-124.692,48.3906,0.11698,284.37003,0.003125,257.063115
O1:,-124.696,48.3946,0.144131,155.426224,0.018832,140.799701
P1:,-124.696,48.3946,0.084244,167.783081,0.008153,157.725175
Q1:,-124.696,48.3946,0.018243,153.927201,0.003599,124.046459
K1:,-124.696,48.3946,0.293088,174.146773,0.025924,156.649852
K2:,-124.696,48.3946,0.025825,245.715976,0.001819,175.431469
N2:,-124.696,48.3946,0.098078,230.743395,0.004235,253.8244
M2:,-124.696,48.3946,0.470601,261.059227,0.018944,285.698908
S2:,-124.696,48.3946,0.116861,286.661886,0.003541,310.588248
O1:,-124.699,48.3985,0.136168,155.667993,0.037183,160.994531
P1:,-124.699,48.3985,0.080794,168.108221,0.018133,188.010369
Q1:,-124.699,48.3985,0.017051,154.293608,0.007303,141.491858
K1:,-124.699,48.3985,0.280294,174.706011,0.052555,188.625794
K2:,-124.699,48.3985,0.025715,235.454468,0.004395,69.128284
N2:,-124.699,48.3985,0.094623,228.422416,0.010638,327.910013
M2:,-124.699,48.3985,0.454057,258.792187,0.049806,1.080635
S2:,-124.699,48.3985,0.113148,284.096766,0.012291,38.338621
O1:,-124.702,48.4025,0.128322,155.972143,0.057234,167.479801
P1:,-124.702,48.4025,0.077455,168.508869,0.02958,195.991649
Q1:,-124.702,48.4025,0.015893,154.722043,0.011268,146.924382
K1:,-124.702,48.4025,0.267809,175.358028,0.084391,197.963056
K2:,-124.702,48.4025,0.026412,225.581643,0.009499,58.573559
N2:,-124.702,48.4025,0.091344,226.027286,0.020613,339.468417
M2:,-124.702,48.4025,0.4383,256.450412,0.097022,12.140747
S2:,-124.702,48.4025,0.109695,281.459469,0.024816,46.693875
O1:,-124.706,48.4065,0.129063,155.974988,0.068355,168.637299
P1:,-124.706,48.4065,0.078376,169.794664,0.035387,198.611348
Q1:,-124.706,48.4065,0.016338,153.768656,0.013566,147.281076
K1:,-124.706,48.4065,0.268221,176.322272,0.099448,200.77833
K2:,-124.706,48.4065,0.028021,224.171429,0.012484,66.266824
N2:,-124.706,48.4065,0.091007,226.406245,0.023928,342.962971
M2:,-124.706,48.4065,0.435383,256.823901,0.113188,15.461664
S2:,-124.706,48.4065,0.109231,281.640362,0.029404,50.501375
O1:,-124.709,48.4105,0.156656,156.340363,0.052191,158.571951
P1:,-124.709,48.4105,0.094292,173.061881,0.022911,193.168362
Q1:,-124.709,48.4105,0.022017,151.41185,0.011136,135.852602
K1:,-124.709,48.4105,0.314012,178.173238,0.059916,191.635936
K2:,-124.709,48.4105,0.031606,247.840599,0.011867,107.330699
N2:,-124.709,48.4105,0.100758,236.764014,0.009165,347.073118
M2:,-124.709,48.4105,0.477359,267.003777,0.045395,20.005039
S2:,-124.709,48.4105,0.119655,292.170914,0.013197,66.044449
O1:,-124.712,48.4145,0.184254,156.596294,0.038956,140.713285
P1:,-124.712,48.4145,0.110426,175.380208,0.011115,175.590526
