Tidal Elevation Constituents,,,,
Columns,,,,
Constituent,Longitude,Latitude,Amplitude (m),Phase (deg GMT)
O1:,-124.69233,48.390568,0.289491,228.029651
P1:,-124.69233,48.390568,0.149267,239.929285
Q1:,-124.69233,48.390568,0.051422,218.477957
K1:,-124.69233,48.390568,0.4699,243.855899
K2:,-124.69233,48.390568,0.067006,260.016402
N2:,-124.69233,48.390568,0.178625,220.225571
M2:,-124.69233,48.390568,0.838663,244.159742
S2:,-124.69233,48.390568,0.245371,270.957317
O1:,-124.69566,48.394554,0.288532,228.088094
P1:,-124.69566,48.394554,0.148854,240.025091
Q1:,-124.69566,48.394554,0.051232,218.528195
K1:,-124.69566,48.394554,0.468463,243.975425
K2:,-124.69566,48.394554,0.066889,260.035563
N2:,-124.69566,48.394554,0.178399,220.039555
M2:,-124.69566,48.394554,0.837965,243.967667
S2:,-124.69566,48.394554,0.245219,270.807034
O1:,-124.699005,48.39854,0.2875,228.153607
P1:,-124.699005,48.39854,0.148429,240.12721
Q1:,-124.699005,48.39854,0.051029,218.588892
K1:,-124.699005,48.39854,0.46699,244.104427
K2:,-124.699005,48.39854,0.066759,260.085377
N2:,-124.699005,48.39854,0.178132,219.854809
M2:,-124.699005,48.39854,0.837074,243.776101
S2:,-124.699005,48.39854,0.24502,270.659594
O1:,-124.70234,48.40253,0.286468,228.219908
P1:,-124.70234,48.40253,0.148004,240.230321
Q1:,-124.70234,48.40253,0.050825,218.650376
K1:,-124.70234,48.40253,0.46552,244.234659
K2:,-124.70234,48.40253,0.066629,260.135541
N2:,-124.70234,48.40253,0.177865,219.669701
M2:,-124.70234,48.40253,0.836186,243.584282
S2:,-124.70234,48.40253,0.244821,270.512051
O1:,-124.70568,48.406517,0.285475,228.274792
P1:,-124.70568,48.406517,0.147583,240.315978
Q1:,-124.70568,48.406517,0.050627,218.704072
K1:,-124.70568,48.406517,0.464097,244.345691
K2:,-124.70568,48.406517,0.066515,260.166716
N2:,-124.70568,48.406517,0.177648,219.479786
M2:,-124.70568,48.406517,0.835541,243.389506
S2:,-124.70568,48.406517,0.244683,270.360745
O1:,-124.70902,48.410503,0.284517,228.306763
P1:,-124.70902,48.410503,0.147166,240.366997
Q1:,-124.70902,48.410503,0.050431,218.744342
K1:,-124.70902,48.410503,0.462747,244.419982
K2:,-124.70902,48.410503,0.066433,260.17233
N2:,-124.70902,48.410503,0.177509,219.281263
M2:,-124.70902,48.410503,0.83527,243.189122
S2:,-124.70902,48.410503,0.24464,270.203057
O1:,-124.71236,48.41449,0.283558,228.338976
P1:,-124.71236,48.41449,0.146749,240.41834
Q1:,-124.71236,48.41449,0.050236,218.78495
K1:,-124.71236,48.41449,0.461397,244.494746
K2:,-124.71236,48.41449,0.066351,260.177962
N2:,-124.71236,48.41449,0.177372,219.082407
M2:,-124.71236,48.41449,0.83501,242.988582
S2:,-124.71236,48.41449,0.244598,270.045294
O1:,-124.7157,48.418476,0.282562,228.390923
P1:,-124.7157,48.418476,0.146274,240.488364
Q1:,-124.7157,48.418476,0.050037,218.843661
K1:,-124.7157,48.418476,0.459862,244.583504
K2:,-124.7157,48.418476,0.066219,260.178428
N2:,-124.7157,48.418476,0.177207,218.896463
M2:,-124.7157,48.418476,0.834585,242.801871
S2:,-124.7157,48.418476,0.244498,269.899844
O1:,-124.71904,48.422462,0.281541,228.456425
P1:,-124.71904,48.422462,0.145759,240.571294
Q1:,-124.71904,48.422462,0.049836,218.914864
K1:,-124.71904,48.422462,0.458205,244.682051
K2:,-124.71904,48.422462,0.066052,260.175407
N2:,-124.71904,48.422462,0.177024,218.719028
M2:,-124.71904,48.422462,0.834052,242.624312
S2:,-124.71904,48.422462,0.244358,269.762555
O1:,-124.722374,48.42645,0.280326,228.551906
P1:,-124.722374,48.42645,0.145132,240.685398
Q1:,-124.722374,48.42645,0.049599,219.019279
K1:,-124.722374,48.42645,0.456203,244.811415
K2:,-124.722374,48.42645,0.065817,260.194829
N2:,-124.722374,48.42645,0.176709,218.562563
M2:,-124.722374,48.42645,0.832864,242.465435
S2:,-124.722374,48.42645,0.244035,269.643927
O1:,-124.725716,48.430435,0.27908,228.652665
P1:,-124.725716,48.430435,0.144488,240.80504
Q1:,-124.725716,48.430435,0.049356,219.129682
K1:,-124.725716,48.430435,0.454149,244.946396
K2:,-124.725716,48.430435,0.065571,260.217941
N2:,-124.725716,48.430435,0.176375,218.408753
M2:,-124.725716,48.430435,0.831583,242.308963
S2:,-124.725716,48.430435,0.243686,269.527855
O1:,-124.72906,48.434418,0.277935,228.71932
P1:,-124.72906,48.434418,0.143893,240.878682
Q1:,-124.72906,48.434418,0.049136,219.203447
K1:,-124.72906,48.434418,0.452271,245.034045
K2:,-124.72906,48.434418,0.065371,260.221743
N2:,-124.72906,48.434418,0.176159,218.254698
M2:,-124.72906,48.434418,0.830834,242.154878
S2:,-124.72906,48.434418,0.243472,269.411231
O1:,-124.73239,48.438404,0.276797,228.785035
P1:,-124.73239,48.438404,0.143302,240.950916
Q1:,-124.73239,48.438404,0.048918,219.276187
K1:,-124.73239,48.438404,0.450406,245.120316
K2:,-124.73239,48.438404,0.065174,260.224583
N2:,-124.73239,48.438404,0.17595,218.100564
M2:,-124.73239,48.438404,0.830111,242.000905
S2:,-124.73239,48.438404,0.243265,269.29458
O1:,-124.73573,48.44239,0.275739,228.87121
P1:,-124.73573,48.44239,0.142742,241.045227
Q1:,-124.73573,48.44239,0.048715,219.366338
K1:,-124.73573,48.44239,0.448635,245.226858
K2:,-124.73573,48.44239,0.064963,260.227242
N2:,-124.73573,48.44239,0.175693,217.966603
M2:,-124.73573,48.44239,0.829135,241.865924
S2:,-124.73573,48.44239,0.242988,269.193727
O1:,-124.739075,48.446373,0.274663,228.948584
P1:,-124.739075,48.446373,0.142175,241.12414
Q1:,-124.739075,48.446373,0.048509,219.449295
K1:,-124.739075,48.446373,0.446845,245.317868
K2:,-124.739075,48.446373,0.064784,260.21519
N2:,-124.739075,48.446373,0.175482,217.824275
M2:,-124.739075,48.446373,0.828388,241.723548
S2:,-124.739075,48.446373,0.242777,269.084853
O1:,-124.74242,48.45036,0.273578,229.022318
P1:,-124.74242,48.45036,0.141604,241.196537
Q1:,-124.74242,48.45036,0.048303,219.529405
K1:,-124.74242,48.45036,0.445043,245.402397
K2:,-124.74242,48.45036,0.064619,260.196658
N2:,-124.74242,48.45036,0.175292,217.677783
M2:,-124.74242,48.45036,0.827745,241.577489
S2:,-124.74242,48.45036,0.242595,268.972117
O1:,-124.74575,48.45434,0.272615,229.09703
P1:,-124.74575,48.45434,0.141083,241.269985
Q1:,-124.74575,48.45434,0.048121,219.605054
K1:,-124.74575,48.45434,0.443397,245.485808
K2:,-124.74575,48.45434,0.064468,260.16735
N2:,-124.74575,48.45434,0.175115,217.543045
M2:,-124.74575,48.45434,0.827133,241.442665
S2:,-124.74575,48.45434,0.242423,268.867029
O1:,-124.74909,48.45833,0.271723,229.172678
P1:,-124.74909,48.45833,0.14059,241.344393
Q1:,-124.74909,48.45833,0.047953,219.67826
K1:,-124.74909,48.45833,0.441839,245.568889
K2:,-124.74909,48.45833,0.064326,260.131164
N2:,-124.74909,48.45833,0.174946,217.4149
M2:,-124.74909,48.45833,0.826542,241.31414
S2:,-124.74909,48.45833,0.242256,268.766164
O1:,-124.75243,48.46231,0.270833,229.248531
P1:,-124.75243,48.46231,0.140099,241.418992
Q1:,-124.75243,48.46231,0.047786,219.751711
K1:,-124.75243,48.46231,0.440285,245.652211
K2:,-124.75243,48.46231,0.064183,260.09489
N2:,-124.75243,48.46231,0.174778,217.286677
M2:,-124.75243,48.46231,0.825958,241.185621
S2:,-124.75243,48.46231,0.242091,268.66531
O1:,-124.755775,48.466293,0.269904,229.321325
P1:,-124.755775,48.466293,0.13959,241.487297
Q1:,-124.755775,48.466293,0.047612,219.824058
K1:,-124.755775,48.466293,0.438681,245.729678
K2:,-124.755775,48.466293,0.064053,260.056222
N2:,-124.755775,48.466293,0.174629,217.152203
M2:,-124.755775,48.466293,0.825484,241.051268
S2:,-124.755775,48.466293,0.241954,268.559386
O1:,-124.75911,48.47028,0.269099,229.391822
P1:,-124.75911,48.47028,0.139132,241.550297
