Tidal Elevation Constituents,,,,
Columns,,,,
Constituent,Longitude,Latitude,Amplitude (m),Phase (deg GMT)
O1:,-124.69066,48.388573,0.28992,228.009707
P1:,-124.69066,48.388573,0.149474,239.888262
Q1:,-124.69066,48.388573,0.051511,218.466913
K1:,-124.69066,48.388573,0.470621,243.805193
K2:,-124.69066,48.388573,0.067047,260.037819
N2:,-124.69066,48.388573,0.178693,220.330674
M2:,-124.69066,48.388573,0.838783,244.266647
S2:,-124.69066,48.388573,0.245387,271.044192
O1:,-124.69399,48.39256,0.289049,228.055435
P1:,-124.69399,48.39256,0.149067,239.974149
Q1:,-124.69399,48.39256,0.051334,218.497954
K1:,-124.69399,48.39256,0.4692,243.911126
K2:,-124.69399,48.39256,0.066954,260.010689
N2:,-124.69399,48.39256,0.178534,220.131671
M2:,-124.69399,48.39256,0.838415,244.063258
S2:,-124.69399,48.39256,0.245319,270.88063
O1:,-124.697334,48.39655,0.288016,228.12086
P1:,-124.697334,48.39655,0.148641,240.076177
Q1:,-124.697334,48.39655,0.05113,218.558547
K1:,-124.697334,48.39655,0.467725,244.039943
K2:,-124.697334,48.39655,0.066824,260.060491
N2:,-124.697334,48.39655,0.178265,219.947141
M2:,-124.697334,48.39655,0.837517,243.871817
S2:,-124.697334,48.39655,0.245119,270.733255
O1:,-124.700676,48.400536,0.286984,228.186664
P1:,-124.700676,48.400536,0.148216,240.178657
Q1:,-124.700676,48.400536,0.050927,218.61954
K1:,-124.700676,48.400536,0.466254,244.169416
K2:,-124.700676,48.400536,0.066694,260.110426
N2:,-124.700676,48.400536,0.177998,219.762203
M2:,-124.700676,48.400536,0.83663,243.680126
S2:,-124.700676,48.400536,0.244921,270.585759
O1:,-124.70401,48.404522,0.285953,228.253094
P1:,-124.70401,48.404522,0.147791,240.281907
Q1:,-124.70401,48.404522,0.050723,218.681167
K1:,-124.70401,48.404522,0.464786,244.299878
K2:,-124.70401,48.404522,0.066564,260.160619
N2:,-124.70401,48.404522,0.177732,219.576937
M2:,-124.70401,48.404522,0.835749,243.488236
S2:,-124.70401,48.404522,0.244723,270.438195
O1:,-124.70735,48.40851,0.284996,228.29075
P1:,-124.70735,48.40851,0.147375,240.341451
Q1:,-124.70735,48.40851,0.050529,218.724168
K1:,-124.70735,48.40851,0.463422,244.382782
K2:,-124.70735,48.40851,0.066474,260.169521
N2:,-124.70735,48.40851,0.177578,219.380564
M2:,-124.70735,48.40851,0.835404,243.28933
S2:,-124.70735,48.40851,0.244661,270.281908
O1:,-124.710686,48.412495,0.284038,228.322889
P1:,-124.710686,48.412495,0.146958,240.392686
Q1:,-124.710686,48.412495,0.050334,218.764642
K1:,-124.710686,48.412495,0.462072,244.457349
K2:,-124.710686,48.412495,0.066392,260.175154
N2:,-124.710686,48.412495,0.17744,219.182028
M2:,-124.710686,48.412495,0.835138,243.089016
S2:,-124.710686,48.412495,0.244618,270.1243
O1:,-124.71403,48.416485,0.283073,228.358416
P1:,-124.71403,48.416485,0.146531,240.447202
Q1:,-124.71403,48.416485,0.050138,218.808338
K1:,-124.71403,48.416485,0.460691,244.534585
K2:,-124.71403,48.416485,0.066302,260.17994
N2:,-124.71403,48.416485,0.1773,218.985
M2:,-124.71403,48.416485,0.834854,242.890519
S2:,-124.71403,48.416485,0.244568,269.968395
O1:,-124.71737,48.420467,0.282052,228.423548
P1:,-124.71737,48.420467,0.146016,240.529672
Q1:,-124.71737,48.420467,0.049937,218.879126
K1:,-124.71737,48.420467,0.459034,244.632599
K2:,-124.71737,48.420467,0.066136,260.176913
N2:,-124.71737,48.420467,0.177116,218.807833
M2:,-124.71737,48.420467,0.834318,242.713166
S2:,-124.71737,48.420467,0.244428,269.831254
O1:,-124.7207,48.424454,0.28095,228.501776
P1:,-124.7207,48.424454,0.145455,240.625872
Q1:,-124.7207,48.424454,0.049721,218.964387
K1:,-124.7207,48.424454,0.457233,244.744263
K2:,-124.7207,48.424454,0.06594,260.183318
N2:,-124.7207,48.424454,0.176877,218.639385
M2:,-124.7207,48.424454,0.833508,242.543629
S2:,-124.7207,48.424454,0.244211,269.701941
O1:,-124.724045,48.42844,0.279703,228.60208
P1:,-124.724045,48.42844,0.14481,240.74497
Q1:,-124.724045,48.42844,0.049477,219.074253
K1:,-124.724045,48.42844,0.455177,244.878631
K2:,-124.724045,48.42844,0.065694,260.206348
N2:,-124.724045,48.42844,0.176542,218.485777
M2:,-124.724045,48.42844,0.832224,242.387312
S2:,-124.724045,48.42844,0.243861,269.585971
O1:,-124.72739,48.432426,0.278505,228.686771
P1:,-124.72739,48.432426,0.144189,240.842926
