Station_Name,Point Atkinson, B.C.
Station_Number,7795
Latitude_Decimal_Degrees,49.337
Longitude_Decimal_Degrees,123.253
Datum,CD
Time_Zone,PST
SLEV=Observed Water Level
Obs_date,SLEV(metres)
2002/01/01 00:00,0.22,
2002/01/01 01:00,0.37,
2002/01/01 02:00,0.91,
2002/01/01 03:00,1.67,
2002/01/01 04:00,2.63,
2002/01/01 05:00,3.57,
2002/01/01 06:00,4.35,
2002/01/01 07:00,4.81,
2002/01/01 08:00,4.95,
2002/01/01 09:00,4.81,
2002/01/01 10:00,4.54,
2002/01/01 11:00,4.13,
2002/01/01 12:00,3.84,
2002/01/01 13:00,3.69,
2002/01/01 14:00,3.76,
2002/01/01 15:00,4.02,
2002/01/01 16:00,4.29,
2002/01/01 17:00,4.5,
2002/01/01 18:00,4.54,
2002/01/01 19:00,4.29,
2002/01/01 20:00,3.73,
2002/01/01 21:00,3.02,
2002/01/01 22:00,2.22,
2002/01/01 23:00,1.42,
2002/01/02 00:00,0.82,
2002/01/02 01:00,0.57,
2002/01/02 02:00,0.83,
2002/01/02 03:00,1.42,
2002/01/02 04:00,2.24,
2002/01/02 05:00,3.19,
2002/01/02 06:00,4.08,
2002/01/02 07:00,4.77,
2002/01/02 08:00,5.13,
2002/01/02 09:00,5.13,
2002/01/02 10:00,4.93,
2002/01/02 11:00,4.55,
2002/01/02 12:00,4.13,
2002/01/02 13:00,3.79,
2002/01/02 14:00,3.62,
2002/01/02 15:00,3.72,
2002/01/02 16:00,3.96,
2002/01/02 17:00,4.23,
2002/01/02 18:00,4.45,
2002/01/02 19:00,4.49,
2002/01/02 20:00,4.2,
2002/01/02 21:00,3.66,
2002/01/02 22:00,2.97,
2002/01/02 23:00,2.21,
2002/01/03 00:00,1.48,
2002/01/03 01:00,0.95,
2002/01/03 02:00,0.8,
2002/01/03 03:00,1.11,
2002/01/03 04:00,1.72,
2002/01/03 05:00,2.52,
2002/01/03 06:00,3.42,
2002/01/03 07:00,4.24,
2002/01/03 08:00,4.82,
2002/01/03 09:00,5.09,
2002/01/03 10:00,5,
2002/01/03 11:00,4.72,
2002/01/03 12:00,4.27,
2002/01/03 13:00,3.8,
2002/01/03 14:00,3.42,
2002/01/03 15:00,3.24,
2002/01/03 16:00,3.27,
2002/01/03 17:00,3.46,
2002/01/03 18:00,3.7,
2002/01/03 19:00,3.89,
2002/01/03 20:00,3.89,
2002/01/03 21:00,3.66,
2002/01/03 22:00,3.18,
2002/01/03 23:00,2.6,
2002/01/04 00:00,1.93,
