Station Number,Station Name,Longitude,Latitude,Difference Foreman,Difference Masson
1,Sooke,-123.733,48.367,1.0850414747383998,0.7672401846561745
2,Port Angeles,-123.44,48.125,1.0312987814714125,0.7292383618078592
3,Pedder Bay,-123.549,48.331,0.801513172284541,0.5667553993327406
4,Esquimalt,-123.433,48.433,0.732432679322938,0.5179081143118814
5,Clover Point,-123.347,48.405,0.7085893072120385,0.5010483042059102
6,Victoria,-123.367,48.417,0.7273879855459432,0.5143409771331588
7,Finnerty Cove,-123.295,48.473,0.23854163731023273,0.1686744093374075
8,Port Townsend,-122.755,48.145,nan,nan
9,Sidney,-123.4,48.65,0.080151227138673,0.056675476230179246
10,Patricia Bay,-123.45,48.65,0.15761808230673013,0.11145281483670838
11,Maple Bay,-123.617,48.817,0.5323656037377005,0.3764393284733983
12,Fulford Harbour,-123.45,48.767,0.12091869577498741,0.0855024297547264
13,Ladysmith,-123.8,48.983,0.5390496643689008,0.3811656730715822
14,Patos Island,-122.967,48.783,0.5863437830473721,0.41460766509937064
15,Tumbo Channel,-123.108,48.792,0.7906493876981631,0.5590735435823627
16,Whaler Bay,-123.325,48.885,0.922342484418932,0.6521946253090743
17,Silva Bay,-123.7,49.153,1.0411586900585474,0.7362103700317018
18,Ferndale,-122.717,48.833,0.6205503193738168,0.4387953388967037
19,Blaine,-122.76,48.99,0.7164259112278919,0.5065896200469939
20,Tsawwassen,-123.133,48.99,0.7916566658609488,0.5597857968018098
21,Sandheads,-123.3,49.1,0.9542483955028245,0.6747555113964299
22,Point Grey,-123.267,49.25,1.05769383953137,0.7479024863518677
23,Point Atkinson,-123.25,49.333,0.9919278728809233,0.7013989253620487
24,Squamish,-123.15,49.7,1.038592832069953,0.7343960344484051
25,Gibson’s Landing,-123.5,49.4,1.0092816013915362,0.7136698644707733
26,Halfmoon Bay,-123.917,49.517,9999,9999
27,Irvines Landing,-124.05,49.633,9999,9999
28,Winchelsea,-124.083,49.3,1.094183290085649,0.7737044242805696
29,Northwest Bay,-124.2,49.3,1.11911745234786,0.7913355394993846
30,Cherry Point,-122.757,48.863,0.6103486557438942,0.4315816733646012
31,Friday Harbour,-123.01,48.545,0.13111238855960042,0.09271045904805893
32,Rosario,-122.87,48.647,0.03318562179826355,0.02346577821144389
33,North Beach,-122.908,48.712,0.5028762766530215,0.35558722531919384
34,Bellingham,-122.495,48.745,0.43268559951649116,0.30595492153987763
35,Anacortes,-122.613,48.523,0.3348846202222573,0.2367991858742397
36,Reservation Bay,-122.652,48.415,0.4922797207128978,0.3480943287567098
37,Hanbury Point,-123.172,48.58,0.2120858616774964,0.1499673509859499
38,Sheringham Point,-123.918,48.375,1.1754082169901308,0.8311391208961104
