Tidal;Elevation;Prediction;(Time;in;GMT);;
;;;;;;;
1;<#M0>;;;;;;
;;;;;;;
;;;;;;;
Columns;;;;;;;
Elevation;Longitude;Latitude;Year;JulianDay;Hour;Minute;Second
;;;;;;;
Tide;Marker1:;;;;;;
;;;;;;;
-0.7182;-125.913;49.154;2006;258;6;0;0
-1.0634;-125.913;49.154;2006;258;7;0;0
-1.232;-125.913;49.154;2006;258;8;0;0
-1.2019;-125.913;49.154;2006;258;9;0;0
-0.9924;-125.913;49.154;2006;258;10;0;0
-0.6584;-125.913;49.154;2006;258;11;0;0
-0.2765;-125.913;49.154;2006;258;12;0;0
0.0732;-125.913;49.154;2006;258;13;0;0
0.3251;-125.913;49.154;2006;258;14;0;0
0.4426;-125.913;49.154;2006;258;15;0;0
0.4248;-125.913;49.154;2006;258;16;0;0
0.3046;-125.913;49.154;2006;258;17;0;0
0.139;-125.913;49.154;2006;258;18;0;0
-0.0069;-125.913;49.154;2006;258;19;0;0
-0.0762;-125.913;49.154;2006;258;20;0;0
-0.0356;-125.913;49.154;2006;258;21;0;0
0.1162;-125.913;49.154;2006;258;22;0;0
0.3477;-125.913;49.154;2006;258;23;0;0
0.6017;-125.913;49.154;2006;259;0;0;0
0.8097;-125.913;49.154;2006;259;1;0;0
0.9078;-125.913;49.154;2006;259;2;0;0
0.8535;-125.913;49.154;2006;259;3;0;0
0.6362;-125.913;49.154;2006;259;4;0;0
0.2815;-125.913;49.154;2006;259;5;0;0
-0.1531;-125.913;49.154;2006;259;6;0;0
-0.5906;-125.913;49.154;2006;259;7;0;0
-0.9507;-125.913;49.154;2006;259;8;0;0
-1.1673;-125.913;49.154;2006;259;9;0;0
-1.203;-125.913;49.154;2006;259;10;0;0
-1.0568;-125.913;49.154;2006;259;11;0;0
-0.7646;-125.913;49.154;2006;259;12;0;0
-0.39;-125.913;49.154;2006;259;13;0;0
-0.0104;-125.913;49.154;2006;259;14;0;0
0.3013;-125.913;49.154;2006;259;15;0;0
0.4922;-125.913;49.154;2006;259;16;0;0
0.541;-125.913;49.154;2006;259;17;0;0
0.462;-125.913;49.154;2006;259;18;0;0
0.2997;-125.913;49.154;2006;259;19;0;0
0.1171;-125.913;49.154;2006;259;20;0;0
-0.0208;-125.913;49.154;2006;259;21;0;0
-0.0641;-125.913;49.154;2006;259;22;0;0
0.009;-125.913;49.154;2006;259;23;0;0
0.1859;-125.913;49.154;2006;260;0;0;0
0.4222;-125.913;49.154;2006;260;1;0;0
0.6519;-125.913;49.154;2006;260;2;0;0
0.8039;-125.913;49.154;2006;260;3;0;0
0.8203;-125.913;49.154;2006;260;4;0;0
0.6716;-125.913;49.154;2006;260;5;0;0
0.3661;-125.913;49.154;2006;260;6;0;0
-0.05;-125.913;49.154;2006;260;7;0;0
-0.5015;-125.913;49.154;2006;260;8;0;0
-0.9007;-125.913;49.154;2006;260;9;0;0
-1.167;-125.913;49.154;2006;260;10;0;0
-1.2458;-125.913;49.154;2006;260;11;0;0
-1.1214;-125.913;49.154;2006;260;12;0;0
-0.8212;-125.913;49.154;2006;260;13;0;0
-0.4096;-125.913;49.154;2006;260;14;0;0
0.0265;-125.913;49.154;2006;260;15;0;0
0.398;-125.913;49.154;2006;260;16;0;0
0.6343;-125.913;49.154;2006;260;17;0;0
0.6997;-125.913;49.154;2006;260;18;0;0
0.6008;-125.913;49.154;2006;260;19;0;0
0.3844;-125.913;49.154;2006;260;20;0;0
0.125;-125.913;49.154;2006;260;21;0;0
-0.0952;-125.913;49.154;2006;260;22;0;0
-0.2072;-125.913;49.154;2006;260;23;0;0
-0.1736;-125.913;49.154;2006;261;0;0;0
0.0012;-125.913;49.154;2006;261;1;0;0
0.2711;-125.913;49.154;2006;261;2;0;0
0.5596;-125.913;49.154;2006;261;3;0;0
0.7793;-125.913;49.154;2006;261;4;0;0
0.8544;-125.913;49.154;2006;261;5;0;0
0.7413;-125.913;49.154;2006;261;6;0;0
0.4415;-125.913;49.154;2006;261;7;0;0
0.0037;-125.913;49.154;2006;261;8;0;0
-0.4864;-125.913;49.154;2006;261;9;0;0
-0.9255;-125.913;49.154;2006;261;10;0;0
-1.2169;-125.913;49.154;2006;261;11;0;0
-1.2946;-125.913;49.154;2006;261;12;0;0
-1.1393;-125.913;49.154;2006;261;13;0;0
-0.7842;-125.913;49.154;2006;261;14;0;0
-0.3075;-125.913;49.154;2006;261;15;0;0
0.1857;-125.913;49.154;2006;261;16;0;0
0.589;-125.913;49.154;2006;261;17;0;0
0.82;-125.913;49.154;2006;261;18;0;0
0.8403;-125.913;49.154;2006;261;19;0;0
0.6641;-125.913;49.154;2006;261;20;0;0
0.3545;-125.913;49.154;2006;261;21;0;0
0.006;-125.913;49.154;2006;261;22;0;0
-0.2792;-125.913;49.154;2006;261;23;0;0
-0.4185;-125.913;49.154;2006;262;0;0;0
-0.3703;-125.913;49.154;2006;262;1;0;0
-0.1456;-125.913;49.154;2006;262;2;0;0
0.1945;-125.913;49.154;2006;262;3;0;0
0.5538;-125.913;49.154;2006;262;4;0;0
0.8263;-125.913;49.154;2006;262;5;0;0
