"Station Name","POINT ATKINSON"
"Province","BRITISH COLUMBIA"
"Latitude","49.33"
"Longitude","-123.26"
"Elevation","14.00"
"Climate Identifier","1106200"
"WMO Identifier","71037"
"TC Identifier","WSB"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"M","Missing"
"E","Estimated"
"NA","Not Available"
"**","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2006-11-01 00:00","2006","11","01","00:00"," ","5.8","","","M","","M","7","","2","","","","","M","","","","","NA"
"2006-11-01 01:00","2006","11","01","01:00"," ","5.5","","","M","","M","8","","7","","","","","M","","","","","NA"
"2006-11-01 02:00","2006","11","01","02:00"," ","5.1","","","M","","M","8","","6","","","","","M","","","","","NA"
"2006-11-01 03:00","2006","11","01","03:00"," ","5.0","","","M","","M","8","","7","","","","","M","","","","","NA"
"2006-11-01 04:00","2006","11","01","04:00"," ","4.7","","","M","","M","7","","6","","","","","M","","","","","NA"
"2006-11-01 05:00","2006","11","01","05:00"," ","4.5","","","M","","M","8","","6","","","","","M","","","","","NA"
"2006-11-01 06:00","2006","11","01","06:00"," ","4.3","","","M","","M","8","","7","","","","","M","","","","","NA"
"2006-11-01 07:00","2006","11","01","07:00"," ","4.2","","","M","","M","8","","9","","","","","M","","","","","NA"
"2006-11-01 08:00","2006","11","01","08:00"," ","4.9","","","M","","M","8","","7","","","","","M","","","","","NA"
"2006-11-01 09:00","2006","11","01","09:00"," ","5.5","","","M","","M","8","","9","","","","","M","","","","","NA"
"2006-11-01 10:00","2006","11","01","10:00"," ","6.6","","","M","","M","10","","6","","","","","M","","","","","NA"
"2006-11-01 11:00","2006","11","01","11:00"," ","7.5","","","M","","M","20","","2","","","","","M","","","","","NA"
"2006-11-01 12:00","2006","11","01","12:00"," ","7.7","","","M","","M","25","","7","","","","","M","","","","","NA"
"2006-11-01 13:00","2006","11","01","13:00"," ","8.1","","","M","","M","27","","11","","","","","M","","","","","NA"
"2006-11-01 14:00","2006","11","01","14:00"," ","8.9","","","M","","M","26","","9","","","","","M","","","","","NA"
"2006-11-01 15:00","2006","11","01","15:00"," ","9.4","","","M","","M","13","","2","","","","","M","","","","","NA"
"2006-11-01 16:00","2006","11","01","16:00"," ","9.0","","","M","","M","9","","6","","","","","M","","","","","NA"
"2006-11-01 17:00","2006","11","01","17:00"," ","8.4","","","M","","M","","","0","","","","","M","","","","","NA"
"2006-11-01 18:00","2006","11","01","18:00"," ","8.6","","","M","","M","","","0","","","","","M","","","","","NA"
"2006-11-01 19:00","2006","11","01","19:00"," ","7.9","","","M","","M","7","","2","","","","","M","","","","","NA"
"2006-11-01 20:00","2006","11","01","20:00"," ","7.9","","","M","","M","2","","2","","","","","M","","","","","NA"
"2006-11-01 21:00","2006","11","01","21:00"," ","8.3","","","M","","M","7","","6","","","","","M","","","","","NA"
"2006-11-01 22:00","2006","11","01","22:00"," ","8.1","","","M","","M","8","","6","","","","","M","","","","","NA"
"2006-11-01 23:00","2006","11","01","23:00"," ","8.9","","","M","","M","33","","4","","","","","M","","","","","NA"
